DK's(keep),TSid,createdBy,dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_doi,pub2_doi,originalDataUrl,archiveType,proxy,proxyDetail,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,meanHoloceneValue,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,inCompilation,useInGlobalHolocene,QC Certification,QC comments,link to lipdverse,Remaining issues,last updated
,PYTOR1TJJ2L,matlab,HU84.deVernal.2013,HU84,,58.3677,-57.507,-2853,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,productivity,gcm2,,,,,,200.8483415,,1968.1,8296.5,138.9,1.264142595,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU84.deVernal.2013.html,,before July 15
,PYTK0OF9YQ5,matlab,HU84.deVernal.2013,HU84,,58.3677,-57.507,-2853,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,C,,,,,,,2,,1968.1,8296.5,138.9,1.264142595,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU84.deVernal.2013.html,,before July 15
,PYTIEA1VAI0,matlab,HU90.deVernal.2013,HU90,,58.2098,-48.3733,-3380,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,salinity,psu,,S,SSS,Summer,,33.47325926,,1361.5,11918.6,139,1.136675792,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU90.deVernal.2013.html,,before July 15
,PYTV7RQ4QM8,matlab,HU90.deVernal.2013,HU90,,58.2098,-48.3733,-3380,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,dinocyst,,,,,Sea_Ice_months,months/year,,ICE,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,0.978,positive,1361.5,11918.6,139,1.136675792,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU90.deVernal.2013.html,,before July 15
,PYT80ELRHHX,matlab,HU90.deVernal.2013,HU90,,58.2098,-48.3733,-3380,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,Sea_Ice_conc,0-10,,ICE,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,0.8570123457,,1361.5,11918.6,139,1.136675792,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU90.deVernal.2013.html,,before July 15
,PYTOFPCLRR6,matlab,HU90.deVernal.2013,HU90,,58.2098,-48.3733,-3380,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,productivity,gcm2,,,,,,230.8775185,,1361.5,11918.6,139,1.136675792,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU90.deVernal.2013.html,,before July 15
,PYTJFHDS9RQ,matlab,HU90.deVernal.2013,HU90,,58.2098,-48.3733,-3380,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,A,,,,,,,2.125,,1361.5,11918.6,139,1.136675792,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU90.deVernal.2013.html,,before July 15
,PYT88LYTO1V,matlab,HU91.Levac.2013,HU91,,77.2667,-74.3317,-663,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,salinity,psu,,S,SSS,Summer,,29.77814634,,1548.8,6755.8,99.4,1.152294988,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU91.Levac.2013.html,,before July 15
,PYTAIW6PX92,matlab,HU91.Levac.2013,HU91,,77.2667,-74.3317,-663,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,dinocyst,,,,,Sea_Ice_months,months/year,,ICE,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,8.413878049,positive,1548.8,6755.8,99.4,1.152294988,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU91.Levac.2013.html,,before July 15
,PYTPR79CA49,matlab,HU91.Levac.2013,HU91,,77.2667,-74.3317,-663,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,Sea_Ice_conc,0-10,,ICE,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,6.679097561,,1548.8,6755.8,99.4,1.152294988,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU91.Levac.2013.html,,before July 15
,PYTIS9387GZ,matlab,HU91.Levac.2013,HU91,,77.2667,-74.3317,-663,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,productivity,gcm2,,,,,,114.0776098,,1548.8,6755.8,99.4,1.152294988,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU91.Levac.2013.html,,before July 15
,PYTGG2I8GXG,matlab,HU91.Levac.2013,HU91,,77.2667,-74.3317,-663,10.1016/j.quascirev.2013.07.006,10.5194/cp-10-1605-2014,https://www.ncdc.noaa.gov/paleo-search/study/15444,MarineSediment,,,,,,A,,,,,,,1.975,,1548.8,6755.8,99.4,1.152294988,,FALSE,,,http://lipdverse.org/globalHolocene/0_27_0/HU91.Levac.2013.html,,before July 15
,M2Lpw5nttspP,unknown,Hudson.Bailey.1972,Hudson,,41.67,-86.53,239,,10.1038/nature25464,,LakeSediment,pollen,,MAT,,,precipitation,mm,,P,@surface,1 2 3 4 5 6 7 8 9 10 11 12,annual,876.2581731,,42.9,17344.6,169.4,0.7526908699,,FALSE,JM,,http://lipdverse.org/globalHolocene/0_27_0/Hudson.Bailey.1972.html,,before July 15
